"","Indicator","SeriesCode","GeoAreaCode","GeoAreaName","TimePeriod","Value","Time_Detail","Source","FootNote","Nature","Units","Age","Location","Nature.1","Reporting.Type","Sex","Type.of.product","Units.1","NUM_id","ISO3CD","ISO2CD","ref.name"
"39","4.2.2","SE_PRE_PARTN",12,"Algeria",2006,"33.83005","2006","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",65,"DZA","DZ","Algeria"
"40","4.2.2","SE_PRE_PARTN",12,"Algeria",2006,"33.98955","2006","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",65,"DZA","DZ","Algeria"
"41","4.2.2","SE_PRE_PARTN",12,"Algeria",2008,"43.37556","2008","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",65,"DZA","DZ","Algeria"
"42","4.2.2","SE_PRE_PARTN",12,"Algeria",2008,"44.55934","2008","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",65,"DZA","DZ","Algeria"
"43","4.2.2","SE_PRE_PARTN",12,"Algeria",2008,"42.14056","2008","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",65,"DZA","DZ","Algeria"
"44","4.2.2","SE_PRE_PARTN",12,"Algeria",2010,"86.46482","2010","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",65,"DZA","DZ","Algeria"
"45","4.2.2","SE_PRE_PARTN",12,"Algeria",2010,"91.14876","2010","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",65,"DZA","DZ","Algeria"
"46","4.2.2","SE_PRE_PARTN",12,"Algeria",2010,"88.85497","2010","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",65,"DZA","DZ","Algeria"
"47","4.2.2","SE_PRE_PARTN",24,"Angola",2016,"65.15899","2016","UIS","","E","PERCENT","","","E","G","BOTHSEX","","PERCENT",3,"AGO","AO","Angola"
"48","4.2.2","SE_PRE_PARTN",24,"Angola",2016,"68.81896","2016","UIS","","E","PERCENT","","","E","G","MALE","","PERCENT",3,"AGO","AO","Angola"
"49","4.2.2","SE_PRE_PARTN",24,"Angola",2016,"61.48497","2016","UIS","","E","PERCENT","","","E","G","FEMALE","","PERCENT",3,"AGO","AO","Angola"
"50","4.2.2","SE_PRE_PARTN",28,"Antigua and Barbuda",2007,"96.5","2007","UIS","","E","PERCENT","","","E","G","BOTHSEX","","PERCENT",15,"ATG","AG","Antigua and Barbuda"
"51","4.2.2","SE_PRE_PARTN",28,"Antigua and Barbuda",2007,"97.46835","2007","UIS","","E","PERCENT","","","E","G","MALE","","PERCENT",15,"ATG","AG","Antigua and Barbuda"
"52","4.2.2","SE_PRE_PARTN",28,"Antigua and Barbuda",2007,"95.50073","2007","UIS","","E","PERCENT","","","E","G","FEMALE","","PERCENT",15,"ATG","AG","Antigua and Barbuda"
"53","4.2.2","SE_PRE_PARTN",28,"Antigua and Barbuda",2008,"100","2008","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",15,"ATG","AG","Antigua and Barbuda"
"54","4.2.2","SE_PRE_PARTN",28,"Antigua and Barbuda",2008,"97.18981","2008","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",15,"ATG","AG","Antigua and Barbuda"
"55","4.2.2","SE_PRE_PARTN",28,"Antigua and Barbuda",2008,"94.285","2008","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",15,"ATG","AG","Antigua and Barbuda"
"56","4.2.2","SE_PRE_PARTN",28,"Antigua and Barbuda",2014,"94.01867","2014","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",15,"ATG","AG","Antigua and Barbuda"
"57","4.2.2","SE_PRE_PARTN",28,"Antigua and Barbuda",2014,"100","2014","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",15,"ATG","AG","Antigua and Barbuda"
"58","4.2.2","SE_PRE_PARTN",28,"Antigua and Barbuda",2014,"87.88062","2014","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",15,"ATG","AG","Antigua and Barbuda"
"59","4.2.2","SE_PRE_PARTN",28,"Antigua and Barbuda",2015,"96.09821","2015","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",15,"ATG","AG","Antigua and Barbuda"
"60","4.2.2","SE_PRE_PARTN",28,"Antigua and Barbuda",2015,"100","2015","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",15,"ATG","AG","Antigua and Barbuda"
"61","4.2.2","SE_PRE_PARTN",28,"Antigua and Barbuda",2015,"98.02547","2015","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",15,"ATG","AG","Antigua and Barbuda"
"62","4.2.2","SE_PRE_PARTN",28,"Antigua and Barbuda",2017,"100","2017","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",15,"ATG","AG","Antigua and Barbuda"
"63","4.2.2","SE_PRE_PARTN",28,"Antigua and Barbuda",2017,"97.95271","2017","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",15,"ATG","AG","Antigua and Barbuda"
"64","4.2.2","SE_PRE_PARTN",28,"Antigua and Barbuda",2017,"95.96253","2017","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",15,"ATG","AG","Antigua and Barbuda"
"65","4.2.2","SE_PRE_PARTN",28,"Antigua and Barbuda",2018,"86.49386","2018","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",15,"ATG","AG","Antigua and Barbuda"
"66","4.2.2","SE_PRE_PARTN",28,"Antigua and Barbuda",2018,"95.78059","2018","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",15,"ATG","AG","Antigua and Barbuda"
"67","4.2.2","SE_PRE_PARTN",28,"Antigua and Barbuda",2018,"91.06648","2018","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",15,"ATG","AG","Antigua and Barbuda"
"68","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2000,"15.56282","2000","UIS","","E","PERCENT","","","E","G","MALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"69","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2000,"16.07746","2000","UIS","","E","PERCENT","","","E","G","FEMALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"70","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2000,"15.81366","2000","UIS","","E","PERCENT","","","E","G","BOTHSEX","","PERCENT",18,"AZE","AZ","Azerbaijan"
"71","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2001,"22.55038","2001","UIS","","E","PERCENT","","","E","G","MALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"72","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2001,"21.90507","2001","UIS","","E","PERCENT","","","E","G","BOTHSEX","","PERCENT",18,"AZE","AZ","Azerbaijan"
"73","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2001,"21.26697","2001","UIS","","E","PERCENT","","","E","G","FEMALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"74","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2002,"23.55994","2002","UIS","","E","PERCENT","","","E","G","FEMALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"75","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2002,"23.24376","2002","UIS","","E","PERCENT","","","E","G","BOTHSEX","","PERCENT",18,"AZE","AZ","Azerbaijan"
"76","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2002,"22.94584","2002","UIS","","E","PERCENT","","","E","G","MALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"77","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2003,"25.33998","2003","UIS","","E","PERCENT","","","E","G","MALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"78","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2003,"25.16474","2003","UIS","","E","PERCENT","","","E","G","BOTHSEX","","PERCENT",18,"AZE","AZ","Azerbaijan"
"79","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2003,"24.98065","2003","UIS","","E","PERCENT","","","E","G","FEMALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"80","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2004,"24.73982","2004","UIS","","E","PERCENT","","","E","G","BOTHSEX","","PERCENT",18,"AZE","AZ","Azerbaijan"
"81","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2004,"25.60202","2004","UIS","","E","PERCENT","","","E","G","MALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"82","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2004,"23.87069","2004","UIS","","E","PERCENT","","","E","G","FEMALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"83","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2005,"23.90981","2005","UIS","","E","PERCENT","","","E","G","FEMALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"84","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2005,"25.02993","2005","UIS","","E","PERCENT","","","E","G","BOTHSEX","","PERCENT",18,"AZE","AZ","Azerbaijan"
"85","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2005,"26.15549","2005","UIS","","E","PERCENT","","","E","G","MALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"86","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2006,"26.63477","2006","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",18,"AZE","AZ","Azerbaijan"
"87","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2006,"27.09716","2006","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"88","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2006,"26.14209","2006","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"89","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2007,"27.7179","2007","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"90","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2007,"27.43338","2007","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",18,"AZE","AZ","Azerbaijan"
"91","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2007,"27.18436","2007","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"92","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2008,"26.52275","2008","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"93","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2008,"26.2634","2008","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"94","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2008,"26.40131","2008","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",18,"AZE","AZ","Azerbaijan"
"95","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2009,"25.96676","2009","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",18,"AZE","AZ","Azerbaijan"
"96","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2009,"26.19964","2009","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"97","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2009,"25.76315","2009","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"98","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2010,"30.90901","2010","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"99","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2010,"29.7495","2010","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"100","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2010,"30.36956","2010","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",18,"AZE","AZ","Azerbaijan"
"101","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2011,"31.97878","2011","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",18,"AZE","AZ","Azerbaijan"
"102","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2011,"31.20685","2011","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"103","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2011,"32.65483","2011","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"104","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2012,"32.63392","2012","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",18,"AZE","AZ","Azerbaijan"
"105","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2012,"33.38246","2012","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"106","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2012,"31.78349","2012","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"107","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2013,"32.25455","2013","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",18,"AZE","AZ","Azerbaijan"
"108","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2013,"32.06344","2013","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"109","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2013,"32.42129","2013","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"110","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2014,"26.62413","2014","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"111","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2014,"27.41408","2014","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"112","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2014,"26.98949","2014","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",18,"AZE","AZ","Azerbaijan"
"113","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2015,"27.60907","2015","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",18,"AZE","AZ","Azerbaijan"
"114","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2015,"27.96426","2015","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"115","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2015,"27.30664","2015","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"116","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2016,"24.8356","2016","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"117","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2016,"24.9365","2016","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",18,"AZE","AZ","Azerbaijan"
"118","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2016,"25.05398","2016","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"119","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2017,"61.39544","2017","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"120","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2017,"61.29114","2017","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",18,"AZE","AZ","Azerbaijan"
"121","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2017,"61.20141","2017","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"122","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2018,"69.11895","2018","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",18,"AZE","AZ","Azerbaijan"
"123","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2018,"69.54733","2018","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"124","4.2.2","SE_PRE_PARTN",31,"Azerbaijan",2018,"68.62402","2018","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",18,"AZE","AZ","Azerbaijan"
"125","4.2.2","SE_PRE_PARTN",32,"Argentina",2000,"100","2000","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",10,"ARG","AR","Argentina"
"126","4.2.2","SE_PRE_PARTN",32,"Argentina",2000,"98.40891","2000","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",10,"ARG","AR","Argentina"
"127","4.2.2","SE_PRE_PARTN",32,"Argentina",2000,"99.19166","2000","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",10,"ARG","AR","Argentina"
"128","4.2.2","SE_PRE_PARTN",32,"Argentina",2001,"99.24705","2001","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",10,"ARG","AR","Argentina"
"129","4.2.2","SE_PRE_PARTN",32,"Argentina",2001,"98.51837","2001","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",10,"ARG","AR","Argentina"
"130","4.2.2","SE_PRE_PARTN",32,"Argentina",2001,"100","2001","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",10,"ARG","AR","Argentina"
"131","4.2.2","SE_PRE_PARTN",32,"Argentina",2002,"100","2002","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",10,"ARG","AR","Argentina"
"132","4.2.2","SE_PRE_PARTN",32,"Argentina",2002,"99.25613","2002","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",10,"ARG","AR","Argentina"
"133","4.2.2","SE_PRE_PARTN",32,"Argentina",2002,"98.53686","2002","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",10,"ARG","AR","Argentina"
"134","4.2.2","SE_PRE_PARTN",32,"Argentina",2003,"97.59765","2003","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",10,"ARG","AR","Argentina"
"135","4.2.2","SE_PRE_PARTN",32,"Argentina",2003,"98.09208","2003","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",10,"ARG","AR","Argentina"
"136","4.2.2","SE_PRE_PARTN",32,"Argentina",2003,"98.60394","2003","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",10,"ARG","AR","Argentina"
"137","4.2.2","SE_PRE_PARTN",32,"Argentina",2004,"99.69655","2004","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",10,"ARG","AR","Argentina"
"138","4.2.2","SE_PRE_PARTN",32,"Argentina",2004,"99.05828","2004","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",10,"ARG","AR","Argentina"
"139","4.2.2","SE_PRE_PARTN",32,"Argentina",2004,"98.44229","2004","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",10,"ARG","AR","Argentina"
"140","4.2.2","SE_PRE_PARTN",32,"Argentina",2005,"98.26374","2005","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",10,"ARG","AR","Argentina"
"141","4.2.2","SE_PRE_PARTN",32,"Argentina",2005,"99.1162","2005","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",10,"ARG","AR","Argentina"
"142","4.2.2","SE_PRE_PARTN",32,"Argentina",2005,"100","2005","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",10,"ARG","AR","Argentina"
"143","4.2.2","SE_PRE_PARTN",32,"Argentina",2006,"100","2006","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",10,"ARG","AR","Argentina"
"144","4.2.2","SE_PRE_PARTN",32,"Argentina",2006,"99.26442","2006","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",10,"ARG","AR","Argentina"
"145","4.2.2","SE_PRE_PARTN",32,"Argentina",2006,"98.55502","2006","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",10,"ARG","AR","Argentina"
"146","4.2.2","SE_PRE_PARTN",32,"Argentina",2007,"96.05905","2007","UIS","","C","PERCENT","","","C","G","MALE","","PERCENT",10,"ARG","AR","Argentina"
"147","4.2.2","SE_PRE_PARTN",32,"Argentina",2007,"96.91319","2007","UIS","","C","PERCENT","","","C","G","BOTHSEX","","PERCENT",10,"ARG","AR","Argentina"
"148","4.2.2","SE_PRE_PARTN",32,"Argentina",2007,"97.79881","2007","UIS","","C","PERCENT","","","C","G","FEMALE","","PERCENT",10,"ARG","AR","Argentina"
